title,ganre,director,country,year
"Человек, который слишком много знал (фильм, 1956)",,Альфред Хичкок,,1956
"Ты молодец, Анита!",,Владимир Кочетов,,1956
Чайная церемония (фильм),,Дэниэл Манн,,1956
"Человек-зверь (фильм, 1956)",,,,1956
Человек в сером фланелевом костюме,,Наннэлли Джонсон,,
Чай и симпатия (фильм),,Винсент Миннелли,,1956
Тугой узел,,Михаил Швейцер,,
Тварь ходит среди нас,,,,
"Убийство (фильм, 1956)",,Стэнли Кубрик,,
Хьюстонская история,,Уильям Касл,,1956
"Цена страха (фильм, 1956)",,Эбнер Биберман,,1956
"Хозяйка гостиницы (фильм, 1956)",,Михаил Названов,,1956
Три лица Евы,,Наннэлли Джонсон,,1957
Тропы славы,,,,1957
Тень в окне,,Уильям Эшер,,
Текстильные джунгли,,"Винсент Шерман,Роберт Олдрич",,1957
Странный (фильм),,Джек Гарфейн,,1957
"Сумерки (фильм, 1957)",,Жак Турнёр,,1957
Ставка на мёртвого жокея,,Ричард Торп,,1957
Цель его жизни (фильм),,Анатолий Рыбаков,,1957
Тайны мудрого рыболова,,Леонид Антонов,,1957
Так рождается песня,,"Микаил Микаилов,Рза Тахмасиб",,1957
Улица полна неожиданностей,,Сергей Сиделёв,,
Страницы былого,,Евгений Ташков,,1957
"Стакан воды (фильм, 1957)",,,,
Тем тяжелее падение,,Марк Робсон,,1956
Знакомые картинки,,Евгений Мигунов,,
Трапеция (фильм),,Кэрол Рид,,1956
Человек из ресторана (фильм),,Яков Протазанов,,1927
Пароходик Вилли,,"Уолт Дисней,Аб Айверкс",,
Безумный самолёт,,"Аб Айверкс,Уолт Дисней",,
Турбина № 3,,Семён Тимошенко,,1927
Хождение за три моря (фильм),,"Василий Пронин,Ходжа Аббас",,1957
Чудесный колодец,,Владимир Дегтярёв,,
Третья Мещанская,,Абрам Роом,,1927
"Сказка о попе и о работнике его Балде (мультфильм, 1956)",,Анатолий Каранович,,
Чашка чая,,Николай Шпиковский,,1927
"Колобок (мультфильм, 1956)",,Роман Давыдов,,
Небесное созданье,,"С. Образцов,Г. Натансон",,
Старые знакомые (мультфильм),,"Мстислав Пащенко,Борис Дёжкин",,
Шакалёнок и верблюд,,,,
Пирожок (мультфильм),,Пётр Носов,,
Палка выручалка,,"Валентина Брумберг,Зинаида Брумберг",,
Миллион в мешке,,Дмитрий Бабиченко,,
Слово имеют куклы,,,,
Тамбу-Ламбу (фильм),,Владимир Бычков,,1957
Хас-пуш,,Амо Бек-Назаров,,1927
Маленький Шего,,Д. Бабиченко,,
"Трое (фильм, 1927)",,Александр Соловьёв,,
Девочка в джунглях,,,,
Приключения Мурзилки,,,,
Лесная история (мультфильм),,,,
Кораблик (мультфильм),,Леонид Амальрик,,
В яранге горит огонь,,Ольга Ходатаева,,
"Гадкий утёнок (мультфильм, 1956)",,Владимир Дегтярёв,,
Двенадцать месяцев (мультфильм),,,,
Аист (мультфильм),,Иван Аксенчук,,
Сумка дипкурьера,,Александр Довженко,,
Северная любовь,,Александр Ивановский,,1927
С. В. Д.,,"Григорий Козинцов,Леонид Трауберг",,1927
Тени Бельведера,,Александр Дмитриевич Анощенко-Анод,,1927
"Сорок первый (фильм, 1927)",,Яков Протазанов,,1926
Поэт и царь,,"Владимир Гардин,Евгений Червяков",,1927
"Телеграмма (фильм, 1957)",,Георгий Щербаков,,
Солистка его величества (фильм),,Михаил Вернер,,
Тихая пристань (мультфильм),,Анатолий Каранович,,
Поцелуй Мэри Пикфорд,,Сергей Комаров,,
Сказка о Снегурочке (мультфильм),,"Владимир Дегтярёв,Владимир Данилевич",,
Чудесница (мультфильм),,Александр Иванов,,
Сапоги (фильм),,Владимир Немоляев,,
"Снежная королева (мультфильм, 1957)",,Лев Атаманов,,
В одной столовой…,,Григорий Ломидзе,,
Раба (фильм),,Аркадий Яловой,,1927
Храбрый оленёнок (мультфильм),,"Ольга Ходатаева,Леонид Аристов",,
Путь в Дамаск (фильм),,Лев Шеффер,,1927
Рейс мистера Ллойда,,Дмитрий Бассалыго,,
Свадьба соек (мультфильм),,Аркадий Хинтибидзе,,
"Песня о дружбе (мультфильм, 1957)",,"Иван Иванов-Вано,Михаил Ботов",,
Опять двойка (мультфильм),,,,
Исполнение желаний (мультфильм),,"Валентина,Зинаида Брумберг",,
Самоделкин (мультфильмы),,Вахтанг Бахтадзе,,
Привет друзьям,,"Дмитрий Бабиченко,Борис Дёжкин,Мстислав Пащенко",,
Волк и семеро козлят (мультфильм),,Пётр Носов,,
Верлиока (мультфильм),,Александра Снежко-Блоцкая,,
Ордер на жизнь,,Семён Тимошенко,,1927
Москва в Октябре,,Борис Барнет,,
Конец Санкт-Петербурга,,Всеволод Пудовкин,,1927
Земля в плену,,Фёдор Оцеп,,1927
В некотором царстве…,,,,
Его превосходительство,,Григорий Рошаль,,1927
Звенигора,,Александр Довженко,,1927
Евреи на земле,,Абрам Роом,,1927
Шпанята,,Франсуа Трюффо,,1958
"Два друга, модель и подруга",,Алексей Попов,,1927
Девушка с коробкой,,Борис Барнет,,1927
Парижский сапожник,,Фридрих Эрмлер,,1927
"Два дня (фильм, 1927)",,Георгий Стабовой,,1927
"Вторая жена (фильм, 1927)",,Михаил Доронин,,1927
В трясине,,Иван Перестиани,,1927
Ваша знакомая,,Лев Кулешов,,1927
Братишка (фильм),,,,
Борислав смеётся (фильм),,Иосиф Рона,,1927
Девушка с далёкой реки,,Евгений Червяков,,1927
Бабы рязанские,,"Ольга Преображенская,Иван Правов",,1927
"Водоворот (фильм, 1927)",,Павел Петров-Бытов,,1927
Булат-Батыр,,Юрий Тарич,,1927
Аня (фильм),,"Ольга Преображенская,Иван Правов",,1927
Совершенно некстати,,Морис Регаме,,1957
"Таланты и поклонники (фильм, 1956)",,"Андрей Апсолон,Борис Дмоховский",,1956
Тайна двух океанов (фильм),,Константин Пипинашвили,,1956
Тайна вечной ночи,,Д. Васильев,,1956
