film_title,director
Мрачные тени (фильм),Тим БёртонХлам (1993)Храбрец (1997)Моди: Три дня на крыльях безумия (2024)
Морской бой (фильм),Питер Берг
"Мантера (фильм, 2012)",Алияр Али КуттиМиза Мохамед
Миллион для чайников,Рамаа Мосли
Люди в чёрном 3,Барри Зонненфельд
"Мстители (фильм, 2012)",Джосс УидонМиссия «Серенити»МстителиМного шума из ничегоМстители: Эра Альтрона
Halo 4: Идущий к рассвету,Стюарт Хендлер
Знамение Судного дня,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Стивен Р. Монро"
Джон Картер (фильм),Эндрю Стэнтон
Ищу друга на конец света,Лорин Скафария
Вторжение извне,Доминик Бёрнс
Дружинники (фильм),Акива ШафферКонец света 2013: Апокалипсис по-голливудски (2013)Интервью (2014)
Железное небо,Тимо Вуоренсола
Византия (фильм),Нил Джордан
Безопасность не гарантируется,Колин Треворроу
"Бигфут (фильм, 2012)",Брюс Дэвисон
Атлант расправил плечи: Часть 2,Джон Путч
Голодные игры (фильм),Гэри Росс
Антивирус (фильм),Брэндон Кроненберг
Астерикс и Обеликс в Британии,Лоран Тирар
4:44. Последний день на Земле,Абель Феррара
G.I. Joe: Бросок кобры 2,Джон Чу
"Трудно быть богом (фильм, 2013)",Алексей Герман
Тор 2: Царство тьмы,Алан Тейлор
Хоббит: Пустошь Смауга,Питер ДжексонDoña Lupe (короткометражный; 1985)Геометрия (короткометражный; 1987)Хронос (1993)Мутанты (1997)Хребет дьявола (2001)Блэйд 2 (2002)Хеллбой (2004)Лабиринт фавна (2006)Хеллбой 2: Золотая армия (2008)Тихоокеанский рубеж (2013)Багровый пик (2015)Форма воды (2017)Аллея кошмаров (2021)Пиноккио (2022)Франкенштейн (2025)
Тихоокеанский рубеж,Гильермо дель ТороDoña Lupe (короткометражный; 1985)Геометрия (короткометражный; 1987)Хронос (1993)Мутанты (1997)Хребет дьявола (2001)Блэйд 2 (2002)Хеллбой (2004)Лабиринт фавна (2006)Хеллбой 2: Золотая армия (2008)Тихоокеанский рубеж (2013)Багровый пик (2015)Форма воды (2017)Аллея кошмаров (2021)Пиноккио (2022)Франкенштейн (2025)
Теорема Зеро,Терри Гиллиам
Судная ночь,Джеймс Демонако
Телекинез (фильм),Кимберли Пирс
Таймлесс. Рубиновая книга,Феликс Фуксштайнер
Стартрек: Возмездие,Дж. Дж. АбрамсМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
"Связь (фильм, 2013)",Джеймс Уорд Биркит
Сквозь снег,Пон Чжун ХоЛающие собаки никогда не кусают (2000)Воспоминания об убийстве (2003)Вторжение динозавра (2006)Токио! (2008)Мать (2009)Сквозь снег (2013)Окча (2017)Паразиты (2019)Микки 17 (2025)
Призрачный патруль,Роберт Швентке
Риддик (фильм),Дэвид Туи
Примесь (фильм),Шейн Кэррут
Росомаха: Бессмертный,Джеймс Мэнголд
Прекрасные создания,Ричард Лагравенезе
После нашей эры,М. Найт ШьямаланФильмыМолясь во гневе (1992)Пробуждение (1998)Шестое чувство (1999)Неуязвимый (2000)Знаки (2002)Таинственный лес (2004)Девушка из воды (2006)Явление (2008)Повелитель стихий (2010)После нашей эры (2013)Визит (2015)Сплит (2016)Стекло (2019)Время (2021)Стук в дверь (2023)Ловушка (2024)СериалыСосны (2015)Дом с прислугой (2019)
Последние дни на Марсе,Рори Робинсон
Побег с планеты Земля,Каллэн Брункер
Открытая могила,Гонсало Лопес-Гальего
Охотники на ведьм,Томми Виркола
Перси Джексон и Море чудовищ (фильм),Тор Фройденталь
Орудия смерти: Город костей,Харольд Цварт
"Она (фильм, 2013)",Спайк Джонз
Оз: Великий и Ужасный,Сэм Рэйми
Уиджи: Доска Дьявола,Стайлз Уайт
"Я, Франкенштейн",Стюарт Битти
"Вспомнить всё (фильм, 2012)","Лен УайзманВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
Судная ночь 2,Джеймс Демонако
Страховщик (фильм),Габе Ибаньес
"Черепашки-ниндзя (фильм, 2014)",Джонатан Либесман
Трансформеры: Эпоха истребления,Майкл Бэй
Хоббит: Битва пяти воинств,Питер Джексон
"Робокоп (фильм, 2014)",Жозе Падилья
Пятое путешествие Синдбада,Син Солимон
Последний корабль,"Джонатан МостоуДжек Бендер.mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Пол ХолаханСерджо Мимика-ГеззанМайкл КэтлманБрэд Тернер"
"Посвящённый (фильм, 2014)",Филлип Нойс
Превосходство (фильм),Уолли Пфистер
Стражи Галактики (фильм),Джеймс Ганн
"Сигнал (фильм, 2014)",Уильям Юбэнк
