film_title,genre
Джентльмены (фильм),криминал комедия боевик
Вивариум,научнофантастический фильм и фильмтриллер
Малыш Джо,драматический фильм и научнофантастический фильм
"Мальчик, который обуздал ветер",драма
Британский психопат,боевик криминал
"Жадность (фильм, 2019)",комедия сатира
Борьба с моей семьёй,драма комедия биография спорт
Аббатство Даунтон (фильм),драма
Миссис Лаури и сын,биографический фильм
Тайна двух океанов (фильм),приключенческий фильм фантастика
1917 (фильм),военная драма
Тайна вечной ночи,научнофантастический
Брексит (фильм),драматический фильм и политический триллер вд
Таинство Пикассо,документальный фильм
"Таланты и поклонники (фильм, 1956)",драма мелодрама
Старик Хоттабыч (фильм),сказка
Солдаты (фильм),драма военный фильм
"Сорок первый (фильм, 1956)",героикореволюционная драма
"Смерть негодяя (фильм, 1956)",Фильм нуар Драма
"Собор Парижской Богоматери (фильм, 1956)",драма
Смерть в этом саду,драма приключения
Счастье быть женщиной,ранний итальянский неореализм кинокомедия
Скрытые настроения,фильмдрама
"Слова, написанные на ветру",мелодрама
"Серенада (фильм, 1956)",музыкальный фильм мелодрама драма
Сисси — молодая императрица,Драма
Сердце бьётся вновь…,драма мелодрама
Сезон солнца,фильмдрама
Свет в глаза,фильмдрама
"Свадебный подарок, или Всё как у людей",драма
Самурай 3: Поединок на острове,драма приключения
От начала до конца,драма
Барашек Шон: Фермагеддон,приключения комедия семейный научная фантастика
Священная кровь (фильм),драма исторический экранизация
"Снежная страна (фильм, 1957)",драма
Смерть в небольших дозах,Фильм нуар
Смертельный богомол,фантастика ужасы
Случай на шахте восемь,драма
Вертихвостки,документальный фильм биография драма мюзикл
Район красных фонарей (фильм),драма
"Ранняя весна (фильм, 1956)",драма
Разоблачение в Майами,Фильм нуар
Случай в пустыне,приключенческий фильм Шпионский фильм
Путешествие в молодость (фильм),комедия
Радон (фильм),фантастика токусацу
Разные судьбы,мелодрама
Противоположный пол (фильм),музыкальный фильм и романтическая комедия
Сладкий запах успеха,драма нуар
Продавец дождя (фильм),мелодрама
Пройти по тёмной улице,Фильм нуар Триллер
Приговорённый к смерти бежал,драма триллер военный фильм
Приглашение на танец (фильм),фильмантология
Против всех (фильм),историческая драма военный фильм
Поэт (фильм),драма
Потомки Жёлтого императора,романтическая драма
Преступность на улицах,Фильм нуар Социальная драма
"Поцелуй перед смертью (фильм, 1956)",триллер
Посеяли девушки лён,мелодрама
Полюшко-поле (фильм),драма
"Пока город спит (фильм, 1956)",Фильмнуар Драма Триллер
"Пожалуйста, убей меня",Фильм нуар
В потерянных землях (фильм),боевик приключенческий фильм и фэнтезийный фильм
По ту сторону разумного сомнения,Фильм нуар
"По течению (фильм, 1956)",фильмдрама
Пленники Барсова ущелья (фильм),приключенческий фильм
План преступления,Фильм нуар Триллер
"Клятва (фильм, 2012)",драма мелодрама
Пролог (фильм),исторический фильм и драматический фильм
Железное небо,фантастика комедия пародия альтернативная история политическая сатира
Слухи (фильм),чёрная комедия
Помогите стать отцом,драма мелодрама комедия
Цунами 3D,фильм ужасов триллер фильмкатастрофа
Мотель Дестино,фильмтриллер
Пепе (фильм),драматический фильм
Свет (фильм),
Дорога звёзд,драма
Мой любимый торт,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda фильммелодрама вд
Конец (фильм),
"Кукушка (фильм, 2024)",фильм ужасов
"Жизнь (фильм, 2024)",драматический фильм
Иностранный язык (фильм),драматический фильм
"Империя (фильм, 2024)",научнофантастический фильм
"Жатва (фильм, 2024)",драматический фильм
Непосредственное действие,документальный фильм
Архитектон,документальный фильм
"Сокровище (фильм, 2024)",комедийная драма
Бесстрашная гиена 2,боевик
Сентябрь говорит,драматический фильм
Странный человек (фильм),боевик фэнтези
Выгон (фильм),драма
Шаолинь и Удан,боевик
Дьявольская баня,драматический фильм исторический фильм фильм ужасов и фильмтриллер
Учительская (фильм),драматический фильм
Убийца «Священный паук»,криминальный фильм
Треугольник печали,комедийная драма
"Сопротивление (фильм, 2020)",военный биография драма история
Языки (фильм),драматический фильм
Я создан для тебя,романтическая комедия
Римини (фильм),драматический фильм
Франкофония (фильм),документальная драма
Элитное общество,криминальная драма
Ханна Арендт (фильм),драма биография
Пальмникенская трагедия,документальный фильм
Стикс (фильм),драматический фильм
"Шпион, выйди вон! (фильм)",детективный триллер
Работа без авторства,историческая драма
Пришельцы в доме,комедия фантастика приключения семейный фильм
Перелётные птицы (фильм),криминальная драма
"Ярость (фильм, 2009)",боевик
Чудаки (мультфильм),комедийный мультфильм
Рабийе Курназ против Джорджа Буша,драма
Мирный воин,драма
Эксперимент 2: Волна,триллер драма
Чтец (фильм),драма
Петсон и Финдус. Финдус переезжает,детский фильм и анимационноигровой фильм
"Незваные (фильм, 2009)",мистика драма фильм ужасов
Северная стена,драма биографический фильм
"Шальные деньги (фильм, 2010)",боевик триллер драма детектив
Серафина из Санлиса,драма биографический
Союз зверей,семейный фильм  комедия
Царь скорпионов 2: Восхождение воина,боевик приключенческий фильм фэнтези
Собачья ночь,драматический фильм
Руины (фильм),Фильм ужасов
Спиди-гонщик (фильм),боевик семейный спортивный фильм приключения
Тайны китов,приключенческий фильм
Шахматистка (фильм),драма
Обитель зла 4: Жизнь после смерти,боевик ужасов Саундтрек
Менеджер по персоналу,драматический фильм и комедийный фильм
Пещера забытых снов,документальный
"Тишина (фильм, 2010)",драма триллер
Любовь втроём (фильм),драма комедия
Зомби из Лос-Анджелеса,фильм ужасов драма
Ксеро,порнофильм
Копьё судьбы,приключенческий фильм
Неоконченный фильм,документальный фильм
"Дядюшка Бунми, который помнит свои прошлые жизни",комедийный фильм драматический фильм и фэнтезийный фильм
Домой на Рождество,драма комедия
Мёд (фильм),драма
Пламя и Цитрон,драма триллер
Албанец (фильм),драматический фильм и романтический фильм
Дневники Оды,драматический фильм
"Деревня (фильм, 2010)",Драма Триллер
"Еврей Зюсс (фильм, 2010)",историческая драма фильмбиография
"Отто, или В компании мертвецов",фильм ужасов
Охотники на драконов (мультфильм),детский фильм комедийный фильм и фэнтезийный фильм
Пингвинёнок Джаспер: Путешествие на край света,сказка
"Операция «Валькирия» (фильм, 2008)",триллер
Нико: путь к звёздам,семейный приключения мультфильм
Париж! Париж!,драма музыкальный фильм мелодрама
Красный Барон (фильм),биографический боевик приключенческий фильм
Макс Манус (фильм),драма военный исторический
Молчание Лорны,драма
Крабат. Ученик колдуна,фэнтези драма
Импи – суперстар!,мультфильм комедия приключения семейный
Гордость и слава,детектив драма триллер
"Карлик Нос (фильм, 2008)",приключения семейный фэнтези
Новый парень моей мамы,комедия мелодрама
"Мост (фильм, 2008)",военный драма
Могадишо (фильм),Триллер драма
Арн: Королевство в конце пути,исторический фильм
Запутались в любви (фильм),Мелодрама комедия
В поисках сокровищ нибелунгов,приключенческий фильм
Берлин зовёт,Трагикомедия
Элементарные частицы (фильм),романтическая драма
Тристан и Изольда (фильм),эпический фильм романтическая драма
"Визит старой дамы (фильм, 2008)",Трагифарс драма
Четыре минуты (фильм),драма музыкальный фильм
"Свора (фильм, 2006)",ужасы триллер
Самый главный босс,комедия
"Трясина (фильм, 2006)",драма детектив триллер
Рога и копыта (мультфильм),комедия
Чёрная книга (фильм),военный драма триллер
В поисках идиша,Документальное кино
"Реквием (фильм, 2006)",драма
Состав (фильм),драма
Соня (фильм),Мелодрама
"Плетёный человек (фильм, 2006)",фильм ужасов триллер
Переписывая Бетховена,фильмбиография исторический фильм драма музыкальный фильм
Полусвет (фильм),триллер
Парфюмер. История одного убийцы (фильм),драма криминальный фильм
Паутина Шарлотты (фильм),комедия семейный фильм фэнтези
Основной инстинкт 2,эротический триллер криминальная драма
"Одинокие сердца (фильм, 2006)",мелодрама драма Криминальная драма
