Название,Жанр,Продюссер,Страна,Год
"Истинные ценности (фильм, 1998, США)",драма,Карл Франклин,США,1998
Иногда они возвращаются 3,фильм ужасов,Дэниэл Зэлик Берк,США,1998
"Инферно (фильм, 1997)",Боевик     Приключения,Фред Олен Рэй,США,1997
"Истинные ценности (фильм, 1998, Индия)",драма,К. Мурали Мохан Рао Раджеш Малик,Индия,1998
Идеальное убийство,криминальный триллер,Эндрю Дэвис,США,1998
Игра жизни,"криминальный фильм ,  драматический фильм  и  районный фильм",Michael Martin,США,1998
Игра в браслетах,,Никита Хубов,Россия,1998
Зодчий теней (фильм),фильм ужасов,Джэйми Диксон,Канада    США,1998
"Знакомьтесь, Джо Блэк",мистика мелодрама,Мартин Брест,США,1998
Знаменитость (фильм),кинокомедия   драма,Вуди Аллен,США,1998
"Земля (фильм, 1998)",драма,Дипа Мехта,Индия  Канада,1998
Знакомиться с людьми просто,"документальный фильм    и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} рокъюментари",Грант Ги,Великобритания,1998
Здесь рассвет,драма,Заза Урушадзе,Грузия,1998
"Звонок (фильм, 1998)",J-Horror триллер ужасы мистика,Хидэо Наката,Япония,1998
Возвращение «Броненосца» (фильм),комедия приключенческий фильм,Геннадий Полока,Россия  Беларусь,1996
Император и убийца,историческая  драма,Чэнь Кайгэ,"Китай ,  Япония ,  Франция",1998
"Затерянный мир (фильм, 1998)",Фантастика Приключения,Боб Кин,США,1998
Затерянные в космосе (фильм),"научнаяфантастика ,  приключения",Стивен Хопкинс,США,1998
Звёздный путь: Восстание,научная фантастика,Джонатан Фрэйкс,США,1998
Замена. Последний урок,"триллер ,  боевик",Стивен Перл,США,1998
Заклинатель лошадей,драма,Роберт Редфорд,США,1998
"Вызов (фильм, 1996)",криминальная драма,Ф. Гэри Грей,США,1996
Жизнь на земле (фильм),"комедия ,  драма",Абдеррахман Сиссако,Мали  Мавритания  Франция,1998
Жанна и отличный парень,драма,Оливье Дюкастель Жак Мартино,Франция,1998
Женская собственность,"драма , мелодрама",Дмитрий Месхиев,Россия,1998
Ещё один день в раю,драма криминал,Ларри Кларк  Only Child  (1996)  Стоп! Снято!  (1999—2004)  Горящие пальмы  (2010)  Паранормальное явление: Метка Дьявола  (2014)  Скауты против зомби  (2015)  Счастливого дня смерти  (2017)  Счастливого нового дня смерти  (2019)  Дичь  (2020)  У нас привидение!   (2023)  Падение   (2025),США,1998
"Елизавета (фильм, 1998)",драма,Шекхар Капур,Великобритания,1998
Его игра,драма,Спайк Ли,США,1998
Зависть богов,драма мелодрама,Владимир Меньшов,Россия,2000
"Идиоты (фильм, 1998)","драма ,  комедия",Ларс фон Триер,Франция  Дания   Испания  Швеция  Нидерланды  Италия,1998
Жестокие игры 2,драма  /  комедия,Роджер Камбл,США,2000
Жизнь за кадром,комедия мелодрама,Дэвид Мэмет,США,2000
Жертва дьявола,фильм ужасов,Брэдфорд Мэй,США,2000
Женщина сверху (фильм),"романтическая комедия ,  мелодрама",Фина Торрес,США,2000
Женское,драма,Стивен Вудкок,Великобритания,2000
Женские тайны,Мелодрама,Родриго Гарсиа,США,2000
Дублёры,спортивная   комедия,Ховард Дойч,США,2000
Ева и Адам (сериал),"драма ,  семейный ,  мелодрама",Катти Эдфельдт,Швеция,1999-2000
Дорожное приключение,комедия роуд-муви,Тодд Филлипс,США,2000
Дракула 2000,Фильм о вампирах,"Патрик Люссье  Последний дом слева  (1972)    У холмов есть глаза  (1977)  Незнакомец в нашем доме  (1978)  Смертельное благословение  (1981)  Болотная тварь  (1982)  Кошмар на улице Вязов  (1984)  Приглашение в ад  (1984)  Леденящий  (1985)  У холмов есть глаза 2  (1985)  Смертельный друг  (1986)  Змей и радуга  (1988)  Электрошок  (1989)  Ночные видения  (1990)  Люди под лестницей  (1991)  Кошмар на улице Вязов 7: Новый кошмар  (1994)  Вампир в Бруклине  (1995)    Крик  (1996)    Крик 2  (1997)  Музыка сердца  (1999)    Крик 3  (2000)  Оборотни  (2005)  Ночной рейс  (2005)  Париж, я люблю тебя  (2006)  Забери мою душу  (2010)    Крик 4  (2011)",США,2000
Домик у моря,мелодрама,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ли Хён-Сеунг",Корея,2000
Дом для богатых,драма,Владимир Фокин,Россия,2000
"Дублёр (фильм, 2000)",боевик драма,Сэм Фёрстенберг,США,2000
Другой я (фильм),комедия     семейный фильм,Мэнни Кото,США,2000
Доктор Ти и его женщины,комедия  /  мелодрама  /  драма,Роберт Олтмен,США    Германия,2000
Долгота (телесериал),исторический фильм   драма,Чарльз Старридж,Великобритания,2000
Дом большой мамочки,"боевик ,  комедия",Раджа Госнелл,США,2000
Доказательство жизни,драма,Тейлор Хэкфорд  Майкл Клейтон  (2007)  Ничего личного  (2009)  Эволюция Борна  (2012),США,2000
Добейся успеха,комедия,Пейтон Рид,США,2000
Дневник его жены,драма фильм-биография,Алексей Учитель,Россия,2000
Джордж Вашингтон (фильм),драма,Дэвид Гордон Грин,США,2000
ДМБ,комедия,Роман Качанов,Россия,2000
"День святого Валентина (фильм, 2000)",комедия,Анатолий Эйрамджан,Россия,2000
"Заколдованный дом (фильм, 2000)",фильм ужасов,Тед Николау,США,2000
Колыбель будет качаться,драма,Тим Роббинс,США,1999
"Детям до шестнадцати (фильм, 2000)",комедия драма мелодрама,Тамра Дэвис,США,2000
"Демоны (фильм, 2000)",фильм ужасов,Гленн Стэндринг,Новая Зеландия,2000
Код Омега,кинофантастика,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Robert Marcarelli",США,1999
Клуб Буэна Виста,документальный фильм   музыкальный фильм,Вим Вендерс,Германия  США  Великобритания  Франция  Куба,1999
Клёвый парень,комедия,Фрэнк Оз,США,1999
Китайский сервиз,комедия,Виталий Москаленко,Россия,1999
Дело вкуса (фильм),"триллер ,  драма",Бернар Рапп,Франция,2000
Колесо фортуны (фильм),комедия  /  драма,Роберт Олтмен,США,1999
Кипарисовая ветка,драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Серж Роднунски",США,1999
Киллер 2,комедия,Юлиуш Махульский,Польша,1999
Кинопроба (фильм),"драма ,  триллер",Такаси Миикэ,Япония,1999
Кикуджиро,"драма ,  комедия ,  роуд-муви",Такэси Китано,Япония,1999
"Кармилла (фильм, 1999)","Ужасы ,  Эротика",Денис Темплтон   Том ЛеПин,США,1999
Демон ночи,фильм ужасов,Саймон Хантер,Великобритания,2000
"Как же быть сердцу (фильм, 1999)",драма   триллер   музыкальный фильм,Пракаш Джха,Индия,1999
Десант (фильм),Боевик,Лейла Аранышева,Казахстан,2000
Казачья быль,исторический фильм,Николай Гусаров,Россия,1999
"Каждое воскресенье (фильм, 1999)","спортивный , драма  Альтернативный рок Хип-хоп R&B",Оливер Стоун  Полнометражные  Захват  (1974)  Рука  (1981)  Сальвадор  (1986)  Взвод  (1986)  Уолл-стрит  (1987)  Радиоболтовня  (1988)  Рождённый четвёртого июля  (1989)  Дорз  (1991)  Джон Ф. Кеннеди. Выстрелы в Далласе  (1991)  Небо и Земля  (1993)  Прирождённые убийцы  (1994)  Никсон  (1995)  Поворот  (1997)  Каждое воскресенье  (1999)  Александр  (2004)  Башни-близнецы  (2006)  Буш  (2008)  Уолл-стрит: Деньги не спят  (2010)  Особо опасны  (2012)  Сноуден  (2016)  Короткометражные  Последний год во Вьетнаме  (1971)  Безумный человек Мартиники  (1978)  Документальные  Персона нон грата  (ТВ 2003)  Команданте  (2003)  В поисках Фиделя  (2004)  К югу от границы  (2009)  Нерассказанная история США  (2012)  Интервью с Путиным  (2017)  В борьбе за Украину  (2019)  Казах. История золотого человека  (2021),США,1999
"Ищите женщину (фильм, 1999)",драма,Кифер Сазерленд,США,1999
К-911. Собачья работа,боевик   комедия   криминальный фильм,Чарльз Канганис,США,1999
История плохого мальчика,драма кинокомедия,Том Донахи,США,1999
История о нас,романтическая комедия  и  драматический фильм,Роб Райнер,США,1999
Истекающий кровью,драма,Николас Виндинг Рефн,Дания,1999
Колобос,фильм ужасов  /  триллер,Даниэль Лиатович Дэвид Тодд Освирк,США,1999
Истина в вине,"драма ,  комедия",Отар Иоселиани,Франция    Швейцария    Италия,1999
История игрушек 2,комедия семейный  компьютерная,Джон Лассетер Полнометражные фильмы  История игрушек  (1995)  Приключения Флика  (1998)  История игрушек 2  (1999)  Тачки  (2006)  Тачки 2  (2011)  Короткометражные фильмы  Люксо-младший  (1986)  Звезда цирка  (1987)  Оловянная игрушка  (1988)  Безделушка  (1989)  Мэтр и Призрачный Свет  (2006)  Байки Мэтра  (2008),США,13 ноября   1999
Исполнитель желаний 2,фильм ужасов  /  фэнтези,Джек Шолдер,США,1999
Кадриль (фильм),комедия,Виктор Титов,Россия,1999
"Исповедь (фильм, 1999)",драма,Дэвид Хью Джонс,США,1999
Инспектор Гаджет (фильм),"Супергеройский фильм ,  комедия",Дэвид Келлогг,США,1999
Инопланетная угроза,фантастика   приключенческий фильм,Марк Хэйбер,США,1999
"Вещи, о которых я тебе никогда не говорила",комедийная драма,Изабель Койшет,Испания  США,1996
"Вива, эротика",комедия драма,Дерек И,Гонконг,1996
Вечерняя звезда (фильм),драма     комедия,Роберт Харлинг,США,1996
"Ветер в ивах (фильм, 1996)",комедия,Терри Джонс,,1996
"Жизнь как смертельная болезнь, передающаяся половым путём",драма,Кшиштоф Занусси,Франция  Польша,2000
Как кузнец счастье искал,музыкальный фильм   мелодрама,Радомир Василевский,Украина,1999
Весь огромный мир,биография драма мелодрама,Дэн Айрлэнд,США,1996
"Верность (фильм, 1996)",комедия  /  мелодрама,Пол Мазурски,США,19 сентября   1996   и  1996
Вдаль уплывают облака,драма,Аки Каурисмяки,Финляндия,1996
В поисках приключений,"боевые искусства ,  приключения",Жан-Клод Ван Дамм  В поисках приключений  (1996)  Френчи,США,1996
В поисках Ричарда,драма,Аль Пачино  В поисках Ричарда  (1996)  Китайский кофе  (2000),США,1996
В погоне за солнцем,драма приключенческий фильм комедия,Чарльз Т. Кэнгэнис,США,1996
В поисках кошки,комедия  /  мелодрама,Седрик Клапиш,Франция,1996
Инстинкт (фильм),драма,Джон Тёртелтауб,США,1999
В любви и войне,"фильм-биография ,  мелодрама",Ричард Аттенборо,США,1996
Братва,драма криминальный фильм,Дж. К. Амалу,Великобритания  Франция,1996
Большое турне,комедия,Патрис Леконт,Франция,1996
"Больше чем жизнь (фильм, 1996)",комедия,Ховард Франклин,США,1996
Большая ночь,комедия-драма,Кэмпбелл Скотт Стэнли Туччи,США,1996
Блуждающая пуля,боевик приключения,Сидни Дж. Фьюри,США,1996
Богус,фантастическая комедия,Норман Джуисон,США,1996
Близко к сердцу,мелодрама,Джон Эвнет,США,1996
Беспредел в средней школе,комедия,Харт Бокнер,США,1996
"Блеск (фильм, 1996)",драма,Скотт Хикс,Австралия,1996
Био-Дом,Комедия,Джейсон Блум,США,1996
"Бесконечность (фильм, 1996)",драма  /  биографический фильм,Мэттью Бродерик,США,1996
"Инферно (фильм, 1999)",боевик криминальный фильм триллер,Джон Г. Эдвилдсен  В поисках приключений  (1996)  Френчи,США,1999
Белый хастлер,драма,"Рик Кастро, Брюс Ля Брюс",Канада  Германия,1996
Бутылочная ракета,комедия криминальный фильм,Уэс Андерсон,США,1996
Баския (фильм),"драма ,  биография",Джулиан Шнабель,США,1996
Белый шквал,драма приключения,Ридли Скотт,США,1996
Барханов и его телохранитель,криминальная   комедия,Валерий Лонской,Россия,1996
Анатомия Грея (фильм),драма,"Стивен Содерберг  Секс, ложь и видео  (1989)  Кафка  (1991)  Царь горы  (1993)  Там, внутри  (1995)  Анатомия Грея  (1996)  Шизополис  (1996)  Вне поля зрения  (1998)  Англичанин  (1999)  Эрин Брокович  (2000)  Траффик  (2000)  11 друзей Оушена  (2001)  Во всей красе  (2002)  Солярис  (2002)  Эрос  (2004)  12 друзей Оушена  (2004)  Пузырь  (2005)  Хороший немец  (2006)  13 друзей Оушена  (2007)  Че  (2008)  Девушка по вызову  (2009)  Информатор  (2009)  Всё в порядке  (2010)  Заражение  (2011)  Нокаут  (2012)  Супер Майк  (2012)  Побочный эффект  (2013)  За канделябрами  (2013)  Удача Логана  (2017)  Не в себе  (2018)  Птица высокого полёта  (2019)  Прачечная  (2019)  Пусть говорят  (2020)  Без резких движений  (2021)  Кими  (2022)  Супер Майк: Последний танец  (2023)  Присутствие  (2024)  Чёрный мешок  (2025)",США,1996
"Дон Жуан (фильм, 1998)",романтическая комедия,Жак Вебер,Франция    Испания    Германия,1998
Доморощенный,комедия боевик,Стивен Джилленхол,США,1998
Дочь солдата никогда не плачет,драма,Джеймс Айвори,США  Франция  Великобритания,1998
Дом мастера,"документальный ,  биография",Марианна Киреева,Россия,1998
Большой белый обман,комедия,Реджинальд Хадлин,США,1996
"Доктор Дулиттл (фильм, 1998)",комедия,Бетти Томас,США,1998
"Дикость (фильм, 1998)",криминальный фильм триллер эротика,Джон МакНотон,США,1998
Джонни Стервятник,драма  /  мистика  /  триллер,Джон Раффо,США,1998
Дети кукурузы 5: Поля страха,Слэшер,Этан Уайли,США,1998
"Джек Фрост (фильм, 1998)","фэнтезийный фильм ,  драматический фильм ,  комедийный фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} рождественский фильм",Трой Миллер,США,5 декабря 1998 (в США)
Демоны войны,"боевик ,  военный фильм",Владислав Пасиковский,Польша,1998
День полнолуния,притча  /  драма,Карен Шахназаров,Россия,1998
Дедушка (фильм),драма,Хосе Луис Гарси,Испания,1998
Девушка твоей мечты,драма,Фернандо Труэба,Испания,1998
Девушка в кроссовках,драма,Расул Садр Амели,Иран,1998
Байки из склепа: Кровавый бордель,Фильм ужасов Комедия,Гилберт Адлер  Я хочу держать тебя за руку  (1978)  Подержанные автомобили  (1980)  Роман с камнем  (1984)  Назад в будущее  (1985)  Кто подставил кролика Роджера  (1988)  Назад в будущее 2  (1989)  Назад в будущее 3  (1990)  Смерть ей к лицу  (1992)  Форрест Гамп  (1994)  Контакт  (1997)  Что скрывает ложь  (2000)  Изгой  (2000)  Полярный экспресс  (2004)  Беовульф  (2007)  Рождественская история  (2009)  Экипаж  (2012)  Прогулка  (2015)  Союзники  (2016)  Удивительный мир Марвена  (2018)  Ведьмы  (2020)  Пиноккио  (2022)  Тогда. Сейчас. Потом  (2024),США,1996
Дымовые сигналы,семейная драма,Крис Эйр,США  Канада,26 июня   1998    и  3 декабря   1998
Дантист 2,Фильм ужасов триллер,Брайан Юзна,США,1998
Дар Николаса,драма,Роберт Марковиц,США    Италия,1998
"Граф Монте-Кристо (телесериал, 1998)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} телесериал-экранизация романа  ,  приключенческий телесериал ,  исторический телесериал   и  телесериал о любви",Жозе Дайан,Франция  Италия  Германия,1998
Гражданский иск (фильм),юридическая  драма,Стивен Заиллян  В поисках Бобби Фишера  (1993)  Гражданский иск  (1998)  Вся королевская рать  (2006),США,1998
"Две луны, три солнца",драматический фильм,Роман Балаян,Россия  Украина,1998
Господь сказал — ха!,драма комедия,Джулия Суини,США,1998
"Двойник (фильм, 1998)",комедия,Махеш Бхатт,Индия,1998
"Горячая точка (фильм, 1998)","Боевик ,   Военная драма",Иван Соловов,Россия,1998
"Горько! (фильм, 1998)",комедия,Юрий Мамин   Аркадий Тигай,Россия,1998
Городские легенды (фильм),слэшер,Джейми Блэнкс,США  Канада,1998
Город ангелов (фильм),"драма ,  мелодрама ,  фэнтези",Брэд Силберлинг,США  Германия,1998
"Гуще, чем кровь",Драма,Ричард Пирс,США,1998
"Гонка (фильм, 1998)",комедия,Миллисент Шелтон,США,1998
"Гори, Голливуд, гори",псевдодокументальный фильм комедия,Артур Хиллер  ( Алан Смити ),США,1998
Голосок (фильм),"драма ,  мелодрама ,  комедия ,  музыка",Марк Херман,Великобритания,1998
Два товарища (фильм),"лирическая комедия, молодёжный фильм, экранизация",Валерий Пендраковский,Украина  Россия,2000
Двое из нас,драматический фильм,Майкл Линдсей-Хогг,США,2000
"Головой о стену (фильм, 1998)",драма,Ана Коккинос,Австралия,1998
"Дар (фильм, 2000)",триллер,Сэм Рейми,США,2000
Дансер (фильм),драма,Фредерик Гарсон,Франция,2000
Девять королев,"криминальная   драма , триллер",Фабиан Бьелински,Аргентина,2000
Гринч — похититель Рождества,семейный фильм фэнтези комедия мелодрама,Рон Ховард,Германия  США,2000
"Дамский угодник (фильм, 2000)",комедия,Реджинальд Хадлин,США,2000
Грязь и ярость,Документальный фильм  /  музыкальный фильм,Джулиан Темпл,США    Великобритания,2000
"Госпожа Бовари (фильм, 2000)",романтическая драма,Тим Файвелл,Великобритания США,2000
Гражданин Токси: Токсичный мститель 4,"Супергеройский фильм ,  чёрная комедия",Ллойд Кауфман,США,2000
Бег от смерти,"боевик, драма, криминал",Виктор Дерюгин,Беларусь,1996
Девять ярдов,комедия  детектив,Джонатан Линн,США,2000
Грушевое дерево,драма,Дариюш Мехрджуи,Иран,1998
Горец: Конец игры,Фантастика,Дуглас Арниокоски,США,2000
Голова-машина,"фильм ужасов ,  комедия",Леонард Мёрфи  Майкл Мёрфи,США,2000
Годзилла против Мегагируса,"фантастика ,  триллер ,  приключения ,  кайдзю",Масааки Тэдзука,Япония,2000  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС
Горячие парни,драма  /  боевик  /  криминал,Master P,США,2000
"Где моя тачка, чувак?",фантастическая   комедия,Дэнни Лейнер,США,2000
Городские легенды 2,слэшер,"Джон Оттман  Love in the Ruins  (1995)  Восставший из ада 5: Инферно  (2000)  Шесть демонов Эмили Роуз  (2005)  День, когда Земля остановилась  (2008)  Синистер  (2012)  Избави нас от лукавого  (2014)  Доктор Стрэндж  (2016) награды и номинации  Чёрный телефон  (2021)  Ущелье  (2025)  Чёрный телефон 2  (2025)",США,2000
"Гарри — друг, который желает вам добра",драма триллер,Доминик Молль,Франция,2000
Гвардейцы короля,Приключения,Джонатан Тайдор,США,2000
Выблядки,артхаус ужасы драма трэш,Олег Мавроматти,Россия,2000
Гангстер № 1,криминальная драма,Пол Макгиган,Великобритания,2000
"Гамлет (фильм, 2000)",драма,Майкл Алмерейда,США,2000
Вундеркинды (фильм),комедийная драма,Кёртис Хэнсон,США  Германия  Япония  Великобритания,2000
"Вышибала (фильм, 2000)","триллер ,  драма",Джордж Ромеро,США  Канада  Франция,2000
"Всё возможно, детка","комедия ,  мелодрама",Бен Элтон,Великобритания,2000
Время пьяных лошадей,драма,Бахман Гобади,Иран,2000
"Гладиатор (фильм, 2000)",пеплум,Ридли Скотт,США   Великобритания,2000
Гениальные младенцы,"детский фильм ,  комедийный фильм  и  научно-фантастический фильм",Боб Кларк,США,"1999 ,  12 марта   1999  ,  28 января   2000   и  31 марта   2000"
"Вторая тень (фильм, 2000)","драма ,  фильм-биография ,  исторический фильм",Сильвано Агости,Италия,2000
Зона военных действий,драма,Тим Рот,Великобритания  Италия,1999
Вспоминая Титанов,драма,Боаз Якин,,2000
"Врата ада (фильм, 2000)",триллер ужасы мистика,Майкл Б. Драксман,США  Ирландия,2000
Вторая кожа,драма,Херардо Вера,Испания,2000
Зелёный слоник,триллер сплэттер   арт-хаус,Светлана Баскова,Россия,1999
Звонок: Вирус,триллер ужасы,Ким Дон Бин,Республика Корея,1999
Зелёная миля (фильм),фэнтезийная драма,Фрэнк Дарабонт  Женщина в комнате  (1983)  Заживо погребённый  (1990)  Побег из Шоушенка  (1994)  Зелёная миля  (1999)  Мажестик  (2001)  Мгла  (2007),США,1999
"Идеальный муж (фильм, 1999)",комедия  /  мелодрама,Оливер Паркер,Великобритания,1999
"Западня (фильм, 1999)",боевик приключенческий фильм мелодрама триллер,Джон Эмиел,США  Германия  Великобритания,1999
Затворник (фильм),триллер мелодрама детектив,Егор Кончаловский,Россия,1999
"Звонок 2 (фильм, 1999)",J-Horror ужасы,Хидэо Наката,Япония,1999
Доктор Акаги,комедийная драма,Сёхэй Имамура,Япония  Франция,17 октября   1998  и  1998
Заметая следы,"комедия ,  драма ,  роуд-муви",Малкольм Ингрэм,Канада,1999
"Зажигай, ребята","подростковый фильм ,  районный фильм  и  драматический фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Крэйг Болотин",США,4 ноября   1999
"Вратарь (фильм, 2000)",драма,Гонсало Суарес,Испания,2000
Жюльетт (фильм),комедия,Жером Фулон,Франция,1999
Женщин обижать не рекомендуется,мелодрама,Валерий Ахадов,Россия,1999
Жестокие игры (фильм),драма   мелодрама,Роджер Камбл,США,5 марта 1999 года
Жена номер один,комедия,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Давид Дхаван",Индия,1999
Жена астронавта,драма триллер фантастика,Рэнд Рэвич,США,1999
Закон мести,"драма ,  триллер","Боджесси Кристофер ,  Скотт Лит",США,1999
Железная пята олигархии,драма,Александр Баширов,Россия,1999
"Жанна д’Арк (телесериал, 1999)",биографический фильм   приключенческий фильм   драма,Кристиан Дюгей,Канада,1999
Желание сердца,Комедия,Михаэль Койш,Германия,1999
"Жанна д’Арк (фильм, 1999)",историко - биографическая   драма,Люк Бессон,Франция  Чехия   США,1999
Есфирь Прекрасная: Царица-защитница,Религиозный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Раффаэле Мертес",США    Италия    Германия,1999
Дьявольская арифметика,драма  /  фэнтези,Донна Дейтч,США,1999
Дьявол и госпожа Д,"комедия, фэнтези-фильм, детектив, экранизация",Бернд Айхингер,,1999
Душ (фильм),драма кинокомедия,Ян Чжан,Китай,1999
Дочери счастья,драма,Марта Месарош,Польша,1999
Друзья Яны,драма,Арик Каплун,Израиль,1999
Завтрак для чемпионов (фильм),"трагикомедия ,  антиутопия",Алан Рудольф,США,1999
Автокатастрофа (фильм),"драма ,  триллер",Дэвид Кроненберг,Канада     Великобритания,"17 мая   1996  ,  4 октября   1996  ,  31 октября   1996   и  1996"
Дорогая М,драма,Отар Шаматава,Грузия,1999
"Август (фильм, 1996)","комедия ,  драма",Энтони Хопкинс,Великобритания,1996
101 далматинец (фильм),семейный фильм комедия приключенческий фильм,"Стивен Херек  Шестнадцать свечей  (1984)  Клуб «Завтрак»  (1985)  Ох уж эта наука!  (1985)  Феррис Бьюллер берёт выходной  (1986)  Самолётом, поездом, машиной  (1987)  У неё будет ребёнок  (1988)  Дядюшка Бак  (1989)  Кудряшка Сью  (1991)",США,1996
"Дэвид Копперфилд (фильм, 1999)",драма,Саймон Кёртис,Великобритания,1999
Герои не умирают (фильм),криминальная   драма,Джонни То,Гонконг,1998
Глаза змеи,"триллер ,  детектив ,  криминал",Брайан де Пальма,США,1998
"Генерал (фильм, 1998)",криминальная драма,Джон Бурмен,Ирландия,1998
Высокое искусство (фильм),драма,Лиза Холоденко,США,1998
"Гараж (фильм, 1998)","драма ,  комедия",Брэндон Коул,США,1998
Выстрел на поражение,криминальный фильм   драма,Бен Тейлор,США,1998
И целого мира мало,боевик,Майкл Эптед,Великобритания  США,1999
Голливудский поцелуй Билли,романтическая комедия,Томми О’Хейвер,США,1998
Встречайте Дидлов,комедия,Стив Бойум,США,1998
Все маленькие животные (фильм),триллер драма приключения,Джереми Томас,США,1998
"Всё будет хорошо (фильм, 1998)",Комедия,Ангелина Маккароне,Германия,1998
Всё в жизни бывает,Мелодрама   Комедия,"Каран Джохар  Всё в жизни бывает  (1998)  И в печали, и в радости  (2001)  Никогда не говори «прощай»  (2006)  Меня зовут Кхан  (2010)  Студент года  (2012)  Говорит и показывает Бомбей  (2013)  Сердцу нелегко  (2016)  Lust Stories  (2018)",Индия,1998
Все без ума от Мэри,романтическая комедия,Питер и Бобби Фаррелли,США,1998
Воссоединение семейки Аддамс,чёрная комедия семейный фильм фэнтези,Дэйв Пэйн,США,1998
Воображаемая жизнь ангелов,драма мелодрама,Эрик Зонка,Франция,1998
Подарок на Рождество,"рождественская   семейная   комедия  джаз ,  рок ,  поп ,  классическая музыка ,  рождественская музыка  рождественская музыка",Брайан Левант,США   США   США,1996
Возвращение к истокам,Драма,Майя Энджелоу,США,1998
Под сенью крон,драма комедия,Стив Бушеми,США,1996
Вот такие пироги,"комедия ,  мелодрама ,  драма","Дин Паризо  Жар тела  (1981)  Большое разочарование  (1983)  Сильверадо  (1985)  Турист поневоле  (1988)  Я люблю тебя до смерти  (1990)  Большой каньон  (1991)  Уайетт Эрп  (1994)  Французский поцелуй  (1995)  Доктор Мамфорд  (1999)  Ловец снов  (2003)  Самый близкий друг  (2012)  На прошлой неделе у Эдда  (2019, документальный)  Свет и магия  (2022, документальный сериал)  Ноябрьская дорога  ( .mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}} TBA )  документальный фильм про  Мо Остина  ( TBA )",США,1998
Эмма (фильм Дугласа Макграта),романтическая кинокомедия,Дуглас Макграт,Великобритания  США,1996
Эмма (фильм Диармайда Лоуренса),кинокомедия любовная история,Диармайд Лоуренс,Великобритания,1996
"Хладнокровное убийство (фильм, 1996)",драматический фильм  и  криминальный фильм,Джонатан Каплан,США,1996
Титаник (мини-сериал),"мелодрама ,  драма",Роберт Либерман,США  Канада,1996
Проект «Альф»,фантастика комедия,"Дик Лоури, на англ. Dick Lowry",США,1996
