Название,Жанр,Продюссер,Страна,Год
Пионовая беседка (фильм),Мелодрама,Юньфань,Китай,2001
"Крадущийся тигр, затаившийся дракон","уся ,  мелодрама",Энг Ли,КНР   Китай  Гонконг  США,2000
Новая полицейская история,боевик,Бенни Чан,Гонконг,2004
Мир без воров,"боевик ,  драма",Фэн Сяоган,"Китай ,  Гонконг",2004
Путь в тысячу миль,драма,Чжан Имоу,Япония  Китай  Гонконг,2005
"Миф (фильм, 2005)",фэнтези приключенческий фильм боевик комедия драма,Стэнли Тонг,Гонконг  Китай,2005
Разноцветные бутоны,эротическая  драма,Йонфань,Гонконг,2004
Разборки в стиле кунг-фу,комедия фэнтези боевик,Стивен Чоу,Китай  Гонконг,2004
Меч дракона,боевик  3D-анимация,Энтони Жето,Гонконг,2005
Капризное облако,мюзикл  /  эротика  /  комедия  /  драма,Цай Минлян,Китайская Республика,2005
Кукушили: Горный патруль,драма,Лу Чуань,Китай,2004
"Разрисованная вуаль (фильм, 2006)","драма , любовная история",Джон Курран,Китай  США  Канада   Бельгия,2006
Натюрморт (фильм),драма,Цзя Чжанкэ,Китай  Гонконг,2006
Любовники года тигра,драма,Яцек Бромский,Польша  Китай,2005
Мастер го,Фильм-биография,Тянь Чжуанчжуан,Китай,2006
Белая графиня,историческая   драма мелодрама,Джеймс Айвори,Великобритания  США  Германия  Китай,2005
Свадьба Туи,драма,Ван Цюаньань,Китай,2006
"Клятва (фильм, 2005)",боевик драма фэнтези,Chen Kaige,Китай  США  Республика Корея,2005
"Бесстрашный (фильм, 2006)",драма,Ронни Ю,Гонконг      Китай,2006
Проклятие золотого цветка,исторический фильм,Чжан Имоу,Китай,2006
Вожделение (фильм),эротическая   шпионская   историческая драма,Энг Ли,США    Китай      Гонконг  Китайская Республика,2007
Телохранители и убийцы,боевик драма исторический,Тедди Чэнь,Гонконг  Китай,2009
"Мулан (фильм, 2009)",военный   боевик,Ма Чушэн,Китай,2009
Мои черничные ночи,мелодрама драма,Вонг Карвай,Гонконг    Франция    Китай,2007
Экстремальные гонки (фильм),"боевик ,  триллер",Алан Сиуфай Мак  Эндрю Вэйгоэн Лау,Китай,2005
Во имя чести,боевик фильм-биография военный фильм драма,Фэн Сяоган,Китай  Гонконг,2007
"Женщина, пушка и лапша",комедия  /  драма,Чжан Имоу,Китай,2009
Великое дело основания государства,"исторический фильм  ,  военный фильм   и  драматический фильм",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Хань Саньпин   Хуан Цзяньсинь",Китай,"17 сентября   2009  ,  1 октября   2009   и  10 декабря   2009"
Битва у Красной скалы (фильм),исторический приключенческий,Джон Ву,Китай,Часть первая: 2008 Часть вторая: 2009
Бесшумный перезвон ветра,драма,Уинг Кит Хунг,Гонконг  Швейцария  Китай,2009
Бриллиантовые псы,боевик,"Шимон Дотэн  Защитник  (2004)  Механик  (2005, также автор сюжета)  Бриллиантовые псы  (2007, в титрах не указан)  Миссионер  (2007, также сценарист)  Опасная гастроль  (2009, также сценарист)  Машина для убийств  (2010)  Падение замка  (2021, также продюсер)  Крайне опасен  (2024, также продюсер и сценарист)",Канада  Китай,2007
Город жизни и смерти,драма исторический военный,Лу Чуань,Китай,2009
Джон Рабе (фильм),биографическая историческая драма,Флориан Галленбергер,Франция  Германия  Китай,7 февраля   2009   и  2 апреля   2009
Запретное царство,уся боевик комедия приключения,Роб Минкофф,США  Китай,2008
Ип Ман (фильм),боевик драма биография история,Уилсон Ип,Гонконг  Китай,2008
Дети Хуанг Ши,историческая   военная   драма,Роджер Споттисвуд,Австралия  Китай  Германия,2008
В поисках Джеки,комедия      боевик,Фан Ганлян  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Китай,2009
Пусть летят пули,боевик комедия вестерн,Цзян Вэнь,Китай  Гонконг,2010
Раскрашенная кожа,драма фэнтези,Гордон Чан,Гонконг  Китай,2008
Троецарствие: Возрождение дракона,исторический,Дэниэл Ли,Китай,2008
Баскетбол в стиле кун-фу,Комедия Спорт,Чу Иньпинь,Китай  Гонконг  Китайская Республика,2008
Смерть и слава в Чандэ,драма исторический,Дун Шэнь,Китай,2010
Под ветвями боярышника,драма,Чжан Имоу,Китай,2010
Конфуций (фильм),Биография,Ху Мэй,Китай,2010
Нечестных прошу не беспокоить,комедия,Фэн Сяоган,Китай,2008
Каратэ-пацан,боевые искусства драма семейный,Харальд Цварт,США   КНР,2010
Мэй Ланьфан (фильм),фильм-биография,Чэнь Кайгэ,Китай,2008
Ип Ман 2,боевик   биографический фильм   исторический фильм,Вилсон Ип,Гонконг  Китай,2010
"Землетрясение (фильм, 2010)",драматический   фильм-катастрофа,Фэн Сяоган,Китай,2010
Настоящая легенда,боевик драма,"Юнь Вопхин  Змея в тени орла  (1978)  Пьяный мастер  (1978)  Великолепный мясник  (1979)  Танец пьяного богомола  (1979)  Кулак буддиста  (1980)  Дредноут  (1981)  Магические бойцы  (1982)  Легенда о бойце  (1982)  Шаолиньский пьяница  (1983)  Пьяный тайцзи  (1984)  Странные парочки  (1985)  Близкая встреча с вампиром  (1986)  При исполнении 4: Свидетель  (1989)  Клетка тигра  (1988)  Клетка тигра 2  (1990)  Клетка тигра 3  (1991)  Железная обезьяна  (1993)  Два воина  (1993)  Герои среди героев  (1993)  Огненный дракон  (1994)  Вин Чунь  (1994)  Красный волк  (1995)  Мастер тайцзи 2  (1996)  Настоящая легенда  (2010)  Крадущийся тигр, затаившийся дракон: Меч судьбы  (2016)  Тысяча лиц Дуньцзя  (2017)  Мастер Z: Наследие Ип Мана  (2018)  Септет: История Гонконга  (2020)",Китай,2010
