film_title,genre,director,country,year
"Око за око (фильм, 2010)",драма,Геннадий Полока,Россия Беларусь,2010
Масакра,мистика,Андрей Кудиненко,Беларусь,2010
"Изгои (фильм, 2009)",Документальное кино,Александр Ступников,Беларусь,2009
Бумажные узоры,,Михаил Тумеля,Беларусь,
Излечить страх,исторический драма,Александр Пархоменко,Украина Беларусь,2013
Приключения Нестерки,,Игорь Волчек,Беларусь,
Киндервилейское привидение,детское кино,Елена Турова,Беларусь,2013
Атланты держат небо,документальный  сериал,Александр Городницкий Наталья Касперович,Россия Беларусь,2010
Как мужчины грабят в Чикаго,криминальная драма,Уоллес Маккатчен,США,1900
Брестская крепость (фильм),военно историческая драма,Александр Котт,Беларусь Россия,2010
Сын за отца (фильм),драма,Николай Ерёменкомл Маргарита Касымова,Россия Беларусь,1995
Полёт ночной бабочки,мелодрама,Юрий Бержицкий,Белоруссия,1992
Уик-энд с убийцей,иронический детектив,Юрий Марухин,Белоруссия,1992
Игра воображения,комедия,Михаил Пташук,Беларусь,1995
На чёрных лядах (фильм),исторический фильм военная драма,Валерий Пономарёв,Беларусь,1995
Одержимые злом,фильм ужасов и психологические ужасы,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Демиан Рунья вд,Аргентина США,2023
Килиманджара,комедия,Екатерина Телегина,Россия Азербайджан,2018
Цветы провинции (фильм),драма,Дмитрий Зайцев,Беларусь,1994
"Поселенцы (фильм, 2023)",исторический фильм драматический фильм криминальный фильм и вестерн,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Фелипе Гальвес Аберле вд,Аргентина Чили Дания Франция Тайвань Великобритания,2023
Скерцо (мультфильм),,Игорь Волчек,Беларусь,
"Афера века (фильм, 2020)",фильмтриллер криминальный фильм комедийный фильм и фильмограбление,Ариэль Виноград,Аргентина,16 января 2020 1 16 января 2020 1 и 20 февраля 2020 1
Однажды в Шеки,Комедия Приключение Action,Орхан Байрамов,Азербайджан,2017
Ходжа (фильм),военный фильм драма,Вахид Мустафаев,Азербайджан,2012
Главная роль,комедийный фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Гастон Дюпра вд Мариано Кон вд,Испания Аргентина,2021
Степняк (фильм),драма,Шамиль Алиев,Азербайджан,2012
Маленький пакет любви,драма,Гастон Солники,Аргентина Австрия,2022
"Хамелеон (фильм, 2013)",Художественный,Руфат Гасанов Эльвин Адыгозел,Азербайджан Франция Россия,2013
"Участок (фильм, 2008)",артхаусная драма мистерия,Ильгар Сафат,Азербайджан Грузия,2008
Судьба повелителя,исторический фильм драма,Рамиз Фаталиев и Дильшад Фатхулин,Азербайджан,2008
Постарайся не дышать,короткометражный драма,Алина Абдуллаева,Азербайджан Швейцария,2006
"Взлётная полоса (фильм, 2005)",военный фильм драма фантастический фильм приключенческий фильм,Руфат Асадов,Азербайджан,2005
"Разрушенные мосты (фильм, 2004)",Драма Детектив,Рафик Пуйя В один прекрасный день Вальс золотых тельцов Человек который старался Семья Телефон доверия Глазами призрака,Азербайджан США,2004
Национальная бомба,комедия,Вагиф Мустафаев,Азербайджан,2004
Три девушки (фильм),комедия детектив,Мурад Ибрагимбеков,Россия Азербайджан Германия,2007
"Крепость (фильм, 2008)",драма,Шамиль Наджафзаде,Азербайджан,2008
Абсурдистан,Комедия,Файт Хельмер,Германия Азербайджан,2008
Кавказ (фильм),драма мелодрама,Фарид Гумбатов,Азербайджан Россия,2007
Бута (фильм),драма,Ильгар Наджаф азерб,Азербайджан,2011
"Не бойся, я с тобой! 1919",героическая комедия приключенческий фильм,Юлий Гусман,Азербайджан Россия,2013
"Последний (фильм, 2011)",апокалиптическая притча,Теймур Даими,Азербайджан,2011
Посол зари,исторический фильм драма,Рамиз Гасаноглу,Азербайджан,2012
"Маяк (фильм, 2012)",драма,Фариз Ахмедов,Азербайджан,2012
Град (фильм),военный фильм боевик,Эльхан Джафаров азерб,Азербайджан,2012
"Али и Нино (фильм, 2016)",драматический фильм,Асиф Кападиа,Азербайджан Великобритания,2016
"Кооператив «Политбюро», или Будет долгим прощание",комедия драма,Михаил Пташук,Беларусь,1992
Крест на земле и луна в небе,биографический фильм,Валерий Басов,Белоруссия,1992
Белая кровь,драма,Хаям Абдуллаев Эльмеддин Алыев,Азербайджан,2012
Среди рассыпанных смертей,драматический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Хилал Байдаров вд,Азербайджан Мексика США,10 сентября 2020
"Аргентина, 1985",драматический фильм юридическая драма историческая драма и исторический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Сантьяго Митре вд,Аргентина,2022
